date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:42:57	27914/27914	---M--	200	added ('OK')	image/webp	etag:%22605a6c7f-6d0a%22	https://www.purecinema.tv/wp-content/uploads/2021/03/Selects.00_25_06_05.Still002-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2021/03/Selects.00_25_06_05.Still002-1366x0-c-default.webp	(from https://www.purecinema.tv/until-all-are-free/)
17:42:58	53708/53708	---M--	200	added ('OK')	image/webp	etag:%22605a6c7f-d1cc%22	https://www.purecinema.tv/wp-content/uploads/2021/03/A21-3-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2021/03/A21-3-1366x0-c-default.webp	(from https://www.purecinema.tv/until-all-are-free/)
17:42:59	48390/48390	---M--	200	added ('OK')	image/webp	etag:%22605a6c7f-bd06%22	https://www.purecinema.tv/wp-content/uploads/2021/03/A21-6-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2021/03/A21-6-1366x0-c-default.webp	(from https://www.purecinema.tv/until-all-are-free/)
17:43:00	33372/33372	---M--	200	added ('OK')	image/webp	etag:%22605a6c7f-825c%22	https://www.purecinema.tv/wp-content/uploads/2021/03/A21-4-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2021/03/A21-4-1366x0-c-default.webp	(from https://www.purecinema.tv/until-all-are-free/)
17:43:01	49088/49088	---M--	200	added ('OK')	image/webp	etag:%22605a6c80-bfc0%22	https://www.purecinema.tv/wp-content/uploads/2021/03/A-21-7-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2021/03/A-21-7-1366x0-c-default.webp	(from https://www.purecinema.tv/until-all-are-free/)
17:43:02	72306/72306	---M--	200	added ('OK')	image/webp	etag:%22605a6c80-11a72%22	https://www.purecinema.tv/wp-content/uploads/2021/03/A21-5-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2021/03/A21-5-1366x0-c-default.webp	(from https://www.purecinema.tv/until-all-are-free/)
17:43:03	16514/16514	---M--	200	added ('OK')	image/webp	etag:%22605a6c80-4082%22	https://www.purecinema.tv/wp-content/uploads/2021/03/A21-2-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2021/03/A21-2-1366x0-c-default.webp	(from https://www.purecinema.tv/until-all-are-free/)
17:43:04	78388/78388	---M--	200	added ('OK')	image/webp	etag:%2260069566-13234%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Its-Quiet-Out-Here-1920x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Its-Quiet-Out-Here-1920x0-c-default.webp	(from https://www.purecinema.tv/until-all-are-free/)
17:43:06	61914/61914	---M--	200	added ('OK')	image/webp	etag:%22632212ee-f1da%22	https://www.purecinema.tv/wp-content/uploads/2022/09/J-1920x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2022/09/J-1920x0-c-default.webp	(from https://www.purecinema.tv/jonny/)
17:43:07	534923/534923	---M--	200	added ('OK')	image/png	etag:%22632211b5-8298b%22	https://www.purecinema.tv/wp-content/uploads/2022/09/J-1024x426.png	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2022/09/J-1024x426.png	(from https://www.purecinema.tv/jonny/)
17:43:08	195476/195476	---M--	200	added ('OK')	image/webp	etag:%2262e44e5c-2fb94%22	https://www.purecinema.tv/wp-content/uploads/2022/07/UCSD-Cover-1920x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2022/07/UCSD-Cover-1920x0-c-default.webp	(from https://www.purecinema.tv/jonny/)
17:43:10	79792/79792	---M--	200	added ('OK')	image/webp	etag:%22600712b7-137b0%22	https://www.purecinema.tv/wp-content/uploads/2020/11/LeadershIP-1920x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/LeadershIP-1920x0-c-default.webp	(from https://www.purecinema.tv/leadership/)
17:43:10	611228/611228	---M--	200	added ('OK')	image/jpeg	etag:%2260068bc7-9539c%22	https://www.purecinema.tv/wp-content/uploads/2020/11/LeadershIP.jpg	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/LeadershIP.jpg	(from https://www.purecinema.tv/leadership/)
17:43:10	57358/57358	---M--	200	added ('OK')	image/webp	etag:%2260ff1daf-e00e%22	https://www.purecinema.tv/wp-content/uploads/2021/07/Ace-Web-1920x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2021/07/Ace-Web-1920x0-c-default.webp	(from https://www.purecinema.tv/leadership/)
17:43:13	27892/27892	---M--	200	added ('OK')	image/webp	etag:%2261a6730e-6cf4%22	https://www.purecinema.tv/wp-content/uploads/2021/11/lululemon-x-Francis-Donald-1920x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2021/11/lululemon-x-Francis-Donald-1920x0-c-default.webp	(from https://www.purecinema.tv/lululemon-x-francis-donald/)
17:43:14	34840/34840	---M--	200	added ('OK')	image/webp	etag:%22628d5537-8818%22	https://www.purecinema.tv/wp-content/uploads/2022/05/SKLZ-Cover-1920x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2022/05/SKLZ-Cover-1920x0-c-default.webp	(from https://www.purecinema.tv/lululemon-x-francis-donald/)
17:43:18	151158/151158	---M--	200	added ('OK')	image/webp	etag:%2260084ab0-24e76%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Cutwater-2-1920x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Cutwater-2-1920x0-c-default.webp	(from https://www.purecinema.tv/real-people-real-spirits/)
17:43:20	288278/288278	---M--	200	added ('OK')	image/jpeg	etag:%2260084a8c-46616%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Cutwater-2.jpg	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Cutwater-2.jpg	(from https://www.purecinema.tv/real-people-real-spirits/)
17:43:20	59820/59820	---M--	200	added ('OK')	image/webp	etag:%226006b866-e9ac%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.54.55-AM-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.54.55-AM-1366x0-c-default.webp	(from https://www.purecinema.tv/real-people-real-spirits/)
17:43:20	92252/92252	---M--	200	added ('OK')	image/webp	etag:%226006b867-1685c%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.56.37-AM-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.56.37-AM-1366x0-c-default.webp	(from https://www.purecinema.tv/real-people-real-spirits/)
17:43:21	49524/49524	---M--	200	added ('OK')	image/webp	etag:%226006b867-c174%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.57.39-AM-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.57.39-AM-1366x0-c-default.webp	(from https://www.purecinema.tv/real-people-real-spirits/)
17:43:22	1975598/1975598	---M--	200	added ('OK')	image/png	etag:%2261a67305-1e252e%22	https://www.purecinema.tv/wp-content/uploads/2021/11/lululemon-x-Francis-Donald.png	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2021/11/lululemon-x-Francis-Donald.png	(from https://www.purecinema.tv/lululemon-x-francis-donald/)
17:43:23	66882/66882	---M--	200	added ('OK')	image/webp	etag:%226006b869-10542%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.56.08-AM-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.56.08-AM-1366x0-c-default.webp	(from https://www.purecinema.tv/real-people-real-spirits/)
17:43:23	159072/159072	---M--	200	added ('OK')	image/webp	etag:%226006b868-26d60%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.56.56-AM-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.56.56-AM-1366x0-c-default.webp	(from https://www.purecinema.tv/real-people-real-spirits/)
17:43:24	19804/19804	---M--	200	added ('OK')	image/webp	etag:%226006b86a-4d5c%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.55.21-AM-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.55.21-AM-1366x0-c-default.webp	(from https://www.purecinema.tv/real-people-real-spirits/)
17:43:26	105756/105756	---M--	200	added ('OK')	image/webp	etag:%22600696a7-19d1c%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Indistructable-Woman-1920x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Indistructable-Woman-1920x0-c-default.webp	(from https://www.purecinema.tv/real-people-real-spirits/)
17:43:27	40438/40438	---M--	200	added ('OK')	image/webp	etag:%2262db1df2-9df6%22	https://www.purecinema.tv/wp-content/uploads/2022/07/Hawkers-Screen-Grab-1920x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2022/07/Hawkers-Screen-Grab-1920x0-c-default.webp	(from https://www.purecinema.tv/like-non-other/)
17:43:30	114292/114292	---M--	200	added ('OK')	image/webp	etag:%22637d1a88-1be74%22	https://www.purecinema.tv/wp-content/uploads/2022/11/Cutwater-Web-Preview-1920x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2022/11/Cutwater-Web-Preview-1920x0-c-default.webp	(from https://www.purecinema.tv/backyard-bbq/)
17:43:31	45142/45142	---M--	200	added ('OK')	image/webp	etag:%2261d5f5b2-b056%22	https://www.purecinema.tv/wp-content/uploads/2022/01/Intelius-web-1920x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2022/01/Intelius-web-1920x0-c-default.webp	(from https://www.purecinema.tv/real-hasta-la-muerte/)
17:43:34	1006385/1006385	---M--	200	added ('OK')	image/png	etag:%22637d1a56-f5b31%22	https://www.purecinema.tv/wp-content/uploads/2022/11/Cutwater-Web-Preview-1024x576.png	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2022/11/Cutwater-Web-Preview-1024x576.png	(from https://www.purecinema.tv/backyard-bbq/)
17:43:34	1076728/1076728	---M--	200	added ('OK')	image/png	etag:%2262e44d61-106df8%22	https://www.purecinema.tv/wp-content/uploads/2022/07/UCSD-Cover-1024x575.png	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2022/07/UCSD-Cover-1024x575.png	(from https://www.purecinema.tv/like-non-other/)
17:43:36	162958/162958	---M--	200	added ('OK')	image/webp	etag:%2262e4549a-27c8e%22	https://www.purecinema.tv/wp-content/uploads/2022/07/SKLZ-Golf-Cover-1920x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2022/07/SKLZ-Golf-Cover-1920x0-c-default.webp	(from https://www.purecinema.tv/never-settle/)
17:43:37	491095/491095	---M--	200	added ('OK')	image/png	etag:%22628d54d6-77e57%22	https://www.purecinema.tv/wp-content/uploads/2022/05/SKLZ-Cover-1024x576.png	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2022/05/SKLZ-Cover-1024x576.png	(from https://www.purecinema.tv/never-settle/)
17:43:39	1458542/1458542	---M--	200	added ('OK')	image/png	etag:%2261d5f5a9-16416e%22	https://www.purecinema.tv/wp-content/uploads/2022/01/Intelius-web.png	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2022/01/Intelius-web.png	(from https://www.purecinema.tv/classmates/)
17:43:40	1574769/1574769	---M--	200	added ('OK')	image/png	etag:%2262db1dcf-180771%22	https://www.purecinema.tv/wp-content/uploads/2022/07/Hawkers-Screen-Grab.png	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2022/07/Hawkers-Screen-Grab.png	(from https://www.purecinema.tv/real-hasta-la-muerte/)
17:43:40	612069/612069	---M--	200	added ('OK')	image/jpeg	etag:%2260068bbd-956e5%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Its-Quiet-Out-Here.jpg	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Its-Quiet-Out-Here.jpg	(from https://www.purecinema.tv/its-quiet-out-here/)
17:43:40	40982/40982	---M--	200	added ('OK')	image/webp	etag:%2260069567-a016%22	https://www.purecinema.tv/wp-content/uploads/2020/09/media-1-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/09/media-1-1366x0-c-default.webp	(from https://www.purecinema.tv/its-quiet-out-here/)
17:43:41	30048/30048	---M--	200	added ('OK')	image/webp	etag:%2260069568-7560%22	https://www.purecinema.tv/wp-content/uploads/2020/09/media-2-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/09/media-2-1366x0-c-default.webp	(from https://www.purecinema.tv/its-quiet-out-here/)
17:43:42	24806/24806	---M--	200	added ('OK')	image/webp	etag:%2260069569-60e6%22	https://www.purecinema.tv/wp-content/uploads/2020/09/gallery-3-1-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/09/gallery-3-1-1366x0-c-default.webp	(from https://www.purecinema.tv/its-quiet-out-here/)
17:43:42	1020454/1020454	---M--	200	added ('OK')	image/png	etag:%2262e452e0-f9226%22	https://www.purecinema.tv/wp-content/uploads/2022/07/SKLZ-Golf-Cover-1024x576.png	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2022/07/SKLZ-Golf-Cover-1024x576.png	(from https://www.purecinema.tv/never-settle-2/)
17:43:43	46680/46680	---M--	200	added ('OK')	image/webp	etag:%226006956a-b658%22	https://www.purecinema.tv/wp-content/uploads/2020/09/gallery-2-1-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/09/gallery-2-1-1366x0-c-default.webp	(from https://www.purecinema.tv/its-quiet-out-here/)
17:43:44	7334/7334	---M--	200	added ('OK')	image/webp	etag:%226006956a-1ca6%22	https://www.purecinema.tv/wp-content/uploads/2020/09/gallery-1-1-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/09/gallery-1-1-1366x0-c-default.webp	(from https://www.purecinema.tv/its-quiet-out-here/)
17:43:46	136868/136868	---M--	200	added ('OK')	image/webp	etag:%226006956a-216a4%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Evolution-of-the-DJ-1920x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Evolution-of-the-DJ-1920x0-c-default.webp	(from https://www.purecinema.tv/its-quiet-out-here/)
